branch,order_id,order_dt,category,menu,sweet_level,qty,price,cost,trans_type,payment,gender,membership,time_of_day,is_holiday,is_weekend,order_wait_time,order_wait_time_cat
alpha,alpha22-007802,2022-03-01 06:43:00,smoothie,Strawberry Smoothie,0.5,2,85,45,to go,mobile,F,False,morning,False,False,5.214010714334663,moderate
alpha,alpha22-007803,2022-03-01 06:52:00,smoothie,Mango Smoothie,0.75,2,90,45,eat in,cash,M,True,morning,False,False,3.586248205369013,short
alpha,alpha22-007804,2022-03-01 06:57:00,tea,Green Tea,0.75,2,65,30,eat in,credit card,M,True,morning,False,False,3.554804159751308,short
alpha,alpha22-007805,2022-03-01 07:11:00,coffee,Mocha,0.25,2,70,35,to go,credit card,M,False,morning,False,False,2.1390083082269835,short
alpha,alpha22-007806,2022-03-01 07:15:00,coffee,Mocha,1.0,3,70,35,delivery,credit card,F,False,morning,False,False,5.432839032476609,moderate
alpha,alpha22-007807,2022-03-01 07:32:00,bakery,Muffin,,1,60,30,to go,credit card,F,True,morning,False,False,6.147899144559332,moderate
alpha,alpha22-007807,2022-03-01 07:32:00,bakery,Sandwich,,1,80,30,to go,credit card,F,True,morning,False,False,7.647899144559332,moderate
alpha,alpha22-007808,2022-03-01 07:48:00,bakery,Donut,,2,40,15,to go,mobile,M,False,morning,False,False,6.216190266529816,moderate
alpha,alpha22-007809,2022-03-01 07:49:00,bakery,Sandwich,,1,80,30,to go,mobile,M,False,morning,False,False,5.48397237537105,moderate
alpha,alpha22-007810,2022-03-01 07:54:00,coffee,Iced Coffee,0.25,2,60,30,eat in,credit card,M,True,morning,False,False,3.6987133575630775,short
alpha,alpha22-007811,2022-03-01 07:59:00,coffee,Latte,0.5,1,70,35,delivery,mobile,M,False,morning,False,False,2.441526211507303,short
alpha,alpha22-007811,2022-03-01 07:59:00,bakery,Cheese Cake,,2,120,80,delivery,mobile,M,False,morning,False,False,3.941526211507303,short
alpha,alpha22-007812,2022-03-01 08:00:00,tea,Thai Tea,0.25,1,70,30,to go,mobile,M,False,morning,False,False,3.3223411482065215,short
alpha,alpha22-007813,2022-03-01 08:10:00,coffee,Americano,0.5,2,45,25,eat in,credit card,M,True,morning,False,False,4.891642189122784,short
alpha,alpha22-007814,2022-03-01 08:13:00,coffee,Americano,0.75,2,45,25,delivery,credit card,F,False,morning,False,False,4.201666954762259,short
alpha,alpha22-007814,2022-03-01 08:13:00,tea,Green Tea,0.5,1,65,30,delivery,credit card,F,False,morning,False,False,5.701666954762259,moderate
alpha,alpha22-007815,2022-03-01 08:17:00,bakery,Croissant,,1,85,50,eat in,mobile,M,False,morning,False,False,6.213201470036953,moderate
alpha,alpha22-007815,2022-03-01 08:17:00,coffee,Black Coffee,1.0,1,45,20,eat in,mobile,M,False,morning,False,False,7.713201470036953,moderate
alpha,alpha22-007816,2022-03-01 08:23:00,bakery,Sandwich,,2,80,30,eat in,credit card,M,True,morning,False,False,3.705147416355045,short
alpha,alpha22-007817,2022-03-01 08:24:00,tea,Thai Tea,1.0,1,70,30,to go,mobile,M,False,morning,False,False,2.7053812994147233,short
alpha,alpha22-007818,2022-03-01 08:25:00,bakery,Muffin,,1,60,30,eat in,credit card,M,False,morning,False,False,5.42929344367781,moderate
alpha,alpha22-007819,2022-03-01 08:31:00,bakery,Croissant,,1,85,50,eat in,mobile,M,False,morning,False,False,2.297292683900008,short
alpha,alpha22-007820,2022-03-01 08:34:00,coffee,Latte,0.0,1,70,35,delivery,credit card,M,True,morning,False,False,4.169159474154871,short
alpha,alpha22-007820,2022-03-01 08:34:00,coffee,Americano,0.5,3,45,25,delivery,credit card,M,True,morning,False,False,7.169159474154871,moderate
alpha,alpha22-007821,2022-03-01 08:34:00,bakery,Croissant,,1,85,50,to go,credit card,F,False,morning,False,False,6.390794896720433,moderate
