branch,order_id,order_dt,category,menu,sweet_level,price,cost,qty,revenue,gross_profit,gross_margin,trans_type,payment,gender,membership,member_id,time_of_day,is_holiday,is_weekend,order_wait_time,order_wait_time_cat,date,day_name,iso_week_number
alpha,alpha032385,1/1/2024 6:21:00,coffee,Iced Americano,0.25,45,13.5,1,45,31.5,0.7,to go,mobile,F,TRUE,42,morning,TRUE,FALSE,2.61685933,short,1/1/2024,Monday,1
alpha,alpha032386,1/1/2024 6:52:00,bakery,Cookie,,85,29.75,1,85,55.25,0.65,eat in,credit card,F,FALSE,,morning,TRUE,FALSE,3.269108475,short,1/1/2024,Monday,1
alpha,alpha032386,1/1/2024 6:52:00,coffee,Mocha,0.25,70,30.1,1,70,39.9,0.57,eat in,credit card,F,FALSE,,morning,TRUE,FALSE,3.269108475,short,1/1/2024,Monday,1
alpha,alpha032387,1/1/2024 7:08:00,bakery,Donut,,40,12,1,40,28,0.7,to go,credit card,F,FALSE,,morning,TRUE,FALSE,6.039325394,moderate,1/1/2024,Monday,1
alpha,alpha032387,1/1/2024 7:08:00,coffee,Iced Latte,0.5,65,22.75,1,65,42.25,0.65,to go,credit card,F,FALSE,,morning,TRUE,FALSE,6.039325394,moderate,1/1/2024,Monday,1
alpha,alpha032388,1/1/2024 7:25:00,tea,Jasmine Tea,0.25,50,10,1,50,40,0.8,eat in,credit card,M,TRUE,1668,morning,TRUE,FALSE,3.456324488,short,1/1/2024,Monday,1
alpha,alpha032389,1/1/2024 7:54:00,coffee,Americano,0.75,45,14.4,5,225,153,0.68,to go,mobile,F,TRUE,1696,morning,TRUE,FALSE,21.33889337,very long,1/1/2024,Monday,1
alpha,alpha032389,1/1/2024 7:54:00,bakery,Sandwich,,80,28,5,400,260,0.65,to go,mobile,F,TRUE,1696,morning,TRUE,FALSE,21.33889337,very long,1/1/2024,Monday,1
alpha,alpha032390,1/1/2024 7:55:00,tea,Thai Tea,0.25,70,17.5,2,140,105,0.75,to go,mobile,M,TRUE,859,morning,TRUE,FALSE,2.056677817,short,1/1/2024,Monday,1
alpha,alpha032391,1/1/2024 8:18:00,bakery,Sandwich,,80,28,1,80,52,0.65,eat in,credit card,M,TRUE,45,morning,TRUE,FALSE,2.014352023,short,1/1/2024,Monday,1
alpha,alpha032392,1/1/2024 8:30:00,smoothie,Watermelon Smoothie,0.5,75,30,1,75,45,0.6,to go,credit card,F,TRUE,1638,morning,TRUE,FALSE,4.732926925,short,1/1/2024,Monday,1
alpha,alpha032393,1/1/2024 8:43:00,tea,Yuzu Tea,0.5,70,24.5,2,140,91,0.65,delivery,mobile,M,TRUE,45,morning,TRUE,FALSE,6.627572811,moderate,1/1/2024,Monday,1
alpha,alpha032393,1/1/2024 8:43:00,tea,Green Tea,0.25,65,24.7,1,65,40.3,0.62,delivery,mobile,M,TRUE,45,morning,TRUE,FALSE,6.627572811,moderate,1/1/2024,Monday,1
alpha,alpha032394,1/1/2024 8:46:00,coffee,Iced Latte,0.5,65,22.75,1,65,42.25,0.65,eat in,mobile,M,FALSE,,morning,TRUE,FALSE,2.747327494,short,1/1/2024,Monday,1
alpha,alpha032395,1/1/2024 9:01:00,bakery,Cheesecake,,120,72,3,360,144,0.4,to go,credit card,F,FALSE,,morning,TRUE,FALSE,5.070287959,moderate,1/1/2024,Monday,1
alpha,alpha032396,1/1/2024 9:12:00,tea,Yuzu Tea,0.25,70,24.5,2,140,91,0.65,to go,credit card,F,FALSE,,morning,TRUE,FALSE,8.072677492,long,1/1/2024,Monday,1
alpha,alpha032396,1/1/2024 9:12:00,bakery,Croissant,,85,46.75,2,170,76.5,0.45,to go,credit card,F,FALSE,,morning,TRUE,FALSE,8.072677492,long,1/1/2024,Monday,1
alpha,alpha032397,1/1/2024 9:15:00,bakery,Sandwich,,80,28,1,80,52,0.65,eat in,credit card,F,FALSE,,morning,TRUE,FALSE,2.014352023,short,1/1/2024,Monday,1
alpha,alpha032398,1/1/2024 10:01:00,coffee,Cappuccino,0.5,75,27.75,3,225,141.75,0.63,eat in,mobile,M,TRUE,896,morning,TRUE,FALSE,7.40508086,moderate,1/1/2024,Monday,1
alpha,alpha032399,1/1/2024 10:17:00,tea,Black Tea,0.5,40,8,3,120,96,0.8,delivery,credit card,F,FALSE,,morning,TRUE,FALSE,13.02440554,very long,1/1/2024,Monday,1
alpha,alpha032399,1/1/2024 10:17:00,coffee,Iced Americano,0.5,45,13.5,1,45,31.5,0.7,delivery,credit card,F,FALSE,,morning,TRUE,FALSE,13.02440554,very long,1/1/2024,Monday,1
alpha,alpha032400,1/1/2024 10:31:00,coffee,Cappuccino,0.25,75,27.75,1,75,47.25,0.63,to go,mobile,M,FALSE,,morning,TRUE,FALSE,3.615037497,short,1/1/2024,Monday,1
alpha,alpha032401,1/1/2024 10:37:00,smoothie,Mango Smoothie,0.5,90,31.5,1,90,58.5,0.65,to go,credit card,F,TRUE,33,morning,TRUE,FALSE,3.108145687,short,1/1/2024,Monday,1
alpha,alpha032402,1/1/2024 10:50:00,smoothie,Watermelon Smoothie,0.75,75,30,1,75,45,0.6,to go,mobile,M,TRUE,864,morning,TRUE,FALSE,4.653703384,short,1/1/2024,Monday,1
alpha,alpha032403,1/1/2024 11:09:00,bakery,Muffin,,60,27,1,60,33,0.55,eat in,mobile,M,TRUE,6,noon,TRUE,FALSE,10.76019775,long,1/1/2024,Monday,1
alpha,alpha032403,1/1/2024 11:09:00,bakery,Sandwich,,80,28,1,80,52,0.65,eat in,mobile,M,TRUE,6,noon,TRUE,FALSE,10.76019775,long,1/1/2024,Monday,1
alpha,alpha032404,1/1/2024 11:15:00,coffee,Espresso,0.75,55,20.35,1,55,34.65,0.63,to go,mobile,F,FALSE,,noon,TRUE,FALSE,10.47762871,long,1/1/2024,Monday,1
alpha,alpha032404,1/1/2024 11:15:00,coffee,Mocha Cold Brew,0.5,165,79.2,1,165,85.8,0.52,to go,credit card,M,FALSE,,noon,TRUE,FALSE,10.47762871,long,1/1/2024,Monday,1
alpha,alpha032405,1/1/2024 11:17:00,coffee,Iced Latte,0.25,65,22.75,1,65,42.25,0.65,eat in,credit card,M,TRUE,1651,noon,TRUE,FALSE,4.239916442,short,1/1/2024,Monday,1
alpha,alpha032406,1/1/2024 11:19:00,bakery,Croissant,,85,46.75,3,255,114.75,0.45,eat in,mobile,F,TRUE,1667,noon,TRUE,FALSE,13.39320267,very long,1/1/2024,Monday,1
alpha,alpha032406,1/1/2024 11:19:00,coffee,Espresso,1,55,20.35,3,165,103.95,0.63,eat in,mobile,F,TRUE,1667,noon,TRUE,FALSE,13.39320267,very long,1/1/2024,Monday,1
alpha,alpha032407,1/1/2024 11:29:00,coffee,Iced Americano,0.5,45,13.5,1,45,31.5,0.7,eat in,mobile,F,FALSE,,noon,TRUE,FALSE,4.243228011,short,1/1/2024,Monday,1
alpha,alpha032408,1/1/2024 11:30:00,bakery,Sandwich,,80,28,1,80,52,0.65,to go,mobile,M,TRUE,864,noon,TRUE,FALSE,10.8922484,long,1/1/2024,Monday,1
alpha,alpha032408,1/1/2024 11:30:00,coffee,Iced Americano,0,45,13.5,1,45,31.5,0.7,to go,mobile,M,TRUE,864,noon,TRUE,FALSE,10.8922484,long,1/1/2024,Monday,1
alpha,alpha032409,1/1/2024 11:35:00,bakery,Donut,,40,12,1,40,28,0.7,delivery,credit card,F,FALSE,,noon,TRUE,FALSE,12.05268377,very long,1/1/2024,Monday,1
alpha,alpha032409,1/1/2024 11:35:00,tea,Bubble Tea,0.25,70,17.5,1,70,52.5,0.75,delivery,credit card,F,FALSE,,noon,TRUE,FALSE,12.05268377,very long,1/1/2024,Monday,1
alpha,alpha032410,1/1/2024 11:39:00,tea,Bubble Tea,0.25,70,17.5,1,70,52.5,0.75,to go,cash,M,TRUE,857,noon,TRUE,FALSE,4.897589485,short,1/1/2024,Monday,1
alpha,alpha032411,1/1/2024 11:42:00,tea,Yuzu Tea,1,70,24.5,3,210,136.5,0.65,eat in,credit card,M,TRUE,867,noon,TRUE,FALSE,5.666035037,moderate,1/1/2024,Monday,1
alpha,alpha032412,1/1/2024 12:01:00,tea,Bubble Tea,0.25,70,17.5,1,70,52.5,0.75,to go,mobile,M,TRUE,1648,noon,TRUE,FALSE,8.103284926,long,1/1/2024,Monday,1
alpha,alpha032413,1/1/2024 12:07:00,coffee,Cappuccino,0.25,75,27.75,1,75,47.25,0.63,to go,cash,M,TRUE,868,noon,TRUE,FALSE,7.465243209,moderate,1/1/2024,Monday,1
alpha,alpha032414,1/1/2024 12:25:00,coffee,Latte,0.5,65,27.95,1,65,37.05,0.57,eat in,mobile,F,FALSE,,noon,TRUE,FALSE,4.979665522,short,1/1/2024,Monday,1
alpha,alpha032415,1/1/2024 12:26:00,bakery,Croissant,,85,46.75,1,85,38.25,0.45,to go,credit card,M,FALSE,,noon,TRUE,FALSE,4.226328321,short,1/1/2024,Monday,1
alpha,alpha032416,1/1/2024 12:29:00,bakery,Cheesecake,,120,72,3,360,144,0.4,delivery,credit card,M,TRUE,1694,noon,TRUE,FALSE,14.38079206,very long,1/1/2024,Monday,1
alpha,alpha032416,1/1/2024 12:29:00,tea,Green Tea,0.25,65,24.7,2,130,80.6,0.62,delivery,credit card,M,TRUE,1694,noon,TRUE,FALSE,14.38079206,very long,1/1/2024,Monday,1
alpha,alpha032417,1/1/2024 12:33:00,tea,Yuzu Tea,0.25,70,24.5,3,210,136.5,0.65,delivery,mobile,F,TRUE,870,noon,TRUE,FALSE,5.34021266,moderate,1/1/2024,Monday,1
alpha,alpha032418,1/1/2024 12:41:00,tea,Bubble Tea,0.5,70,17.5,1,70,52.5,0.75,to go,credit card,F,FALSE,,noon,TRUE,FALSE,4.116371752,short,1/1/2024,Monday,1
alpha,alpha032419,1/1/2024 12:49:00,coffee,Latte,0.25,65,27.95,1,65,37.05,0.57,eat in,mobile,M,TRUE,1701,noon,TRUE,FALSE,5.725774614,moderate,1/1/2024,Monday,1
alpha,alpha032420,1/1/2024 13:04:00,bakery,Donut,,40,12,1,40,28,0.7,delivery,credit card,F,FALSE,,afternoon,TRUE,FALSE,21.51827461,very long,1/1/2024,Monday,1
alpha,alpha032420,1/1/2024 13:04:00,bakery,Cookie,,85,29.75,1,85,55.25,0.65,delivery,credit card,F,FALSE,,afternoon,TRUE,FALSE,21.51827461,very long,1/1/2024,Monday,1
alpha,alpha032420,1/1/2024 13:04:00,coffee,Iced Latte,0.25,65,22.75,1,65,42.25,0.65,delivery,credit card,F,FALSE,,afternoon,TRUE,FALSE,21.51827461,very long,1/1/2024,Monday,1
alpha,alpha032420,1/1/2024 13:04:00,smoothie,Watermelon Smoothie,0.25,75,30,1,75,45,0.6,delivery,credit card,F,FALSE,,afternoon,TRUE,FALSE,21.51827461,very long,1/1/2024,Monday,1
alpha,alpha032420,1/1/2024 13:04:00,bakery,Croissant,,85,46.75,1,85,38.25,0.45,delivery,credit card,F,FALSE,,afternoon,TRUE,FALSE,21.51827461,very long,1/1/2024,Monday,1
alpha,alpha032421,1/1/2024 13:06:00,bakery,Donut,,40,12,1,40,28,0.7,delivery,mobile,M,FALSE,,afternoon,TRUE,FALSE,6.259388198,moderate,1/1/2024,Monday,1
alpha,alpha032421,1/1/2024 13:06:00,coffee,Iced Latte,0.25,65,22.75,1,65,42.25,0.65,delivery,mobile,M,FALSE,,afternoon,TRUE,FALSE,6.259388198,moderate,1/1/2024,Monday,1
alpha,alpha032422,1/1/2024 13:17:00,coffee,Iced Latte,0.25,65,22.75,3,195,126.75,0.65,eat in,cash,F,TRUE,1662,afternoon,TRUE,FALSE,12.65547277,very long,1/1/2024,Monday,1
alpha,alpha032422,1/1/2024 13:17:00,bakery,Donut,,40,12,3,120,84,0.7,eat in,cash,F,TRUE,1662,afternoon,TRUE,FALSE,12.65547277,very long,1/1/2024,Monday,1
alpha,alpha032423,1/1/2024 13:18:00,bakery,Muffin,,60,27,1,60,33,0.55,delivery,mobile,F,TRUE,1650,afternoon,TRUE,FALSE,2.496136839,short,1/1/2024,Monday,1
