"branch","order_id","order_dt","category","menu","sweet_level","price","cost","qty","revenue","gross_profit","gross_margin","trans_type","payment","gender","membership","member_id","time_of_day","is_holiday","is_weekend","order_wait_time","order_wait_time_cat","date","day_name","iso_week_number"
"beta","beta042401","45292.29791666667","tea","Green Tea","1","65","24.7","1","65","40.3","0.62","to go","mobile","M","True","873","morning","True","False","5.03719612043769","moderate","2024-01-01","Monday","1"
"beta","beta042402","45292.32430555556","bakery","Muffin",,"60","27","3","180","99","0.55","eat in","mobile","F","True","1683","morning","True","False","18.51340692113551","very long","2024-01-01","Monday","1"
"beta","beta042402","45292.32430555556","tea","Jasmine Tea","1","50","10","3","150","120","0.8","eat in","mobile","F","True","1683","morning","True","False","18.51340692113551","very long","2024-01-01","Monday","1"
"beta","beta042403","45292.33472222222","tea","Yuzu Tea","0","70","24.5","1","70","45.5","0.65","eat in","cash","F","True","856","morning","True","False","4.995656245973368","short","2024-01-01","Monday","1"
"beta","beta042404","45292.37083333333","tea","Bubble Tea","0","70","17.5","3","210","157.5","0.75","eat in","mobile","F","True","1703","morning","True","False","8.456918004522603","long","2024-01-01","Monday","1"
"beta","beta042405","45292.38958333333","tea","Bubble Tea","0.25","70","17.5","2","140","105","0.75","eat in","credit card","M","True","2","morning","True","False","3.571676346681975","short","2024-01-01","Monday","1"
"beta","beta042406","45292.39305555556","bakery","Croissant",,"85","46.75000000000001","1","85","38.24999999999999","0.4499999999999999","eat in","mobile","F","True","54","morning","True","False","8.424434948820615","long","2024-01-01","Monday","1"
"beta","beta042406","45292.39305555556","tea","Yuzu Tea","0.25","70","24.5","1","70","45.5","0.65","eat in","mobile","F","True","54","morning","True","False","8.424434948820615","long","2024-01-01","Monday","1"
"beta","beta042407","45292.43958333333","bakery","Cookie",,"85","29.75","1","85","55.25","0.65","to go","credit card","F","True","1645","morning","True","False","2.627415681771129","short","2024-01-01","Monday","1"
"beta","beta042408","45292.45","tea","Thai Tea","0.25","70","17.5","2","140","105","0.75","eat in","cash","F","True","861","morning","True","False","17.5255275779132","very long","2024-01-01","Monday","1"
"beta","beta042408","45292.45","bakery","Sandwich",,"80","28","2","160","104","0.65","eat in","cash","F","True","861","morning","True","False","17.5255275779132","very long","2024-01-01","Monday","1"
"beta","beta042409","45292.45208333333","tea","Jasmine Tea","0.25","50","10","1","50","40","0.8","eat in","mobile","F","True","1700","morning","True","False","3.108979154486768","short","2024-01-01","Monday","1"
"beta","beta042410","45292.46319444444","coffee","Americano","0.25","45","14.4","2","90","61.2","0.68","eat in","mobile","M","True","869","noon","True","False","18.94237526337119","very long","2024-01-01","Monday","1"
"beta","beta042410","45292.46319444444","bakery","Croissant",,"85","46.75000000000001","2","170","76.49999999999999","0.4499999999999999","eat in","mobile","M","True","869","noon","True","False","18.94237526337119","very long","2024-01-01","Monday","1"
"beta","beta042411","45292.46875","tea","Thai Tea","0.5","70","17.5","1","70","52.5","0.75","eat in","mobile","F","True","1666","noon","True","False","4.513049618555119","short","2024-01-01","Monday","1"
"beta","beta042412","45292.47638888889","tea","Bubble Tea","0.25","70","17.5","1","70","52.5","0.75","to go","mobile","F","True","1660","noon","True","False","4.307726146929532","short","2024-01-01","Monday","1"
"beta","beta042413","45292.47916666666","tea","Yuzu Tea","0.75","70","24.5","1","70","45.5","0.65","to go","mobile","F","True","1650","noon","True","False","2.691071734370606","short","2024-01-01","Monday","1"
"beta","beta042414","45292.5","coffee","Latte","0","65","27.95","3","195","111.15","0.57","eat in","mobile","M","True","859","noon","True","False","6.967305197561064","moderate","2024-01-01","Monday","1"
"beta","beta042415","45292.50694444445","smoothie","Strawberry Smoothie","0.25","85","25.5","2","170","119","0.7","eat in","credit card","F","True","1633","noon","True","False","4.6872807675609","short","2024-01-01","Monday","1"
"beta","beta042416","45292.50972222222","coffee","Cappuccino","0.25","75","27.75","1","75","47.25","0.63","to go","mobile","F","True","1670","noon","True","False","8.593952144766895","long","2024-01-01","Monday","1"
"beta","beta042417","45292.5125","bakery","Cheesecake",,"120","72","1","120","48","0.4","to go","credit card","F","True","1664","noon","True","False","8.842041470448292","long","2024-01-01","Monday","1"
"beta","beta042418","45292.51458333333","tea","Green Tea","0.75","65","24.7","1","65","40.3","0.62","eat in","mobile","M","True","1671","noon","True","False","10.07310527000795","long","2024-01-01","Monday","1"
"beta","beta042419","45292.51597222222","smoothie","Watermelon Smoothie","0.25","75","30","3","225","135","0.6","eat in","mobile","M","True","7","noon","True","False","12.62553150883491","very long","2024-01-01","Monday","1"
"beta","beta042420","45292.52222222222","tea","Jasmine Tea","0.25","50","10","1","50","40","0.8","delivery","mobile","F","True","67","noon","True","False","7.755948675570658","moderate","2024-01-01","Monday","1"
"beta","beta042421","45292.52361111111","bakery","Sandwich",,"80","28","1","80","52","0.65","eat in","mobile","M","True","25","noon","True","False","2.627415681771129","short","2024-01-01","Monday","1"
"beta","beta042422","45292.53055555555","tea","Thai Tea","0.25","70","17.5","1","70","52.5","0.75","to go","mobile","M","True","68","noon","True","False","8.287816031595582","long","2024-01-01","Monday","1"
"beta","beta042423","45292.53541666667","bakery","Muffin",,"60","27","1","60","33","0.55","to go","mobile","M","True","1699","noon","True","False","7.004007095392448","moderate","2024-01-01","Monday","1"
"beta","beta042424","45292.53888888889","tea","Thai Tea","0.25","70","17.5","1","70","52.5","0.75","to go","mobile","F","True","902","noon","True","False","6.233089421314627","moderate","2024-01-01","Monday","1"
"beta","beta042425","45292.55347222222","bakery","Sandwich",,"80","28","1","80","52","0.65","eat in","credit card","F","False",,"afternoon","True","False","11.71677432528474","very long","2024-01-01","Monday","1"
"beta","beta042425","45292.55347222222","bakery","Cookie",,"85","29.75","1","85","55.25","0.65","eat in","credit card","F","False",,"afternoon","True","False","11.71677432528474","very long","2024-01-01","Monday","1"
"beta","beta042426","45292.57291666666","bakery","Donut",,"40","12","1","40","28","0.7","eat in","mobile","M","True","1637","afternoon","True","False","5.136191746741792","moderate","2024-01-01","Monday","1"
"beta","beta042427","45292.57777777778","tea","Yuzu Tea","0.25","70","24.5","1","70","45.5","0.65","eat in","credit card","F","True","894","afternoon","True","False","4.080878060619104","short","2024-01-01","Monday","1"
"beta","beta042428","45292.57986111111","coffee","Espresso","0.25","55","20.35","1","55","34.65","0.63","eat in","credit card","F","True","54","afternoon","True","False","4.247420631068862","short","2024-01-01","Monday","1"
"beta","beta042429","45292.59097222222","tea","Thai Tea","0.25","70","17.5","1","70","52.5","0.75","to go","mobile","M","False",,"afternoon","True","False","8.656606337719225","long","2024-01-01","Monday","1"
"beta","beta042429","45292.59097222222","bakery","Croissant",,"85","46.75000000000001","1","85","38.24999999999999","0.4499999999999999","to go","mobile","M","False",,"afternoon","True","False","8.656606337719225","long","2024-01-01","Monday","1"
"beta","beta042430","45292.59791666667","bakery","Cookie",,"85","29.75","3","255","165.75","0.65","delivery","mobile","F","True","28","afternoon","True","False","20.33836412883191","very long","2024-01-01","Monday","1"
"beta","beta042430","45292.59791666667","tea","Thai Tea","0.5","70","17.5","2","140","105","0.75","delivery","mobile","F","True","28","afternoon","True","False","20.33836412883191","very long","2024-01-01","Monday","1"
"beta","beta042431","45292.59861111111","tea","Bubble Tea","0","70","17.5","2","140","105","0.75","to go","mobile","F","True","885","afternoon","True","False","3.94739311067482","short","2024-01-01","Monday","1"
"beta","beta042432","45292.60069444445","tea","Bubble Tea","1","70","17.5","3","210","157.5","0.75","to go","mobile","F","True","1634","afternoon","True","False","7.176735734163239","moderate","2024-01-01","Monday","1"
"beta","beta042433","45292.62361111111","tea","Jasmine Tea","0.75","50","10","1","50","40","0.8","to go","mobile","M","True","875","afternoon","True","False","3.20401318657593","short","2024-01-01","Monday","1"
"beta","beta042434","45292.64166666667","tea","Thai Tea","0.25","70","17.5","1","70","52.5","0.75","eat in","credit card","F","True","899","afternoon","True","False","5.731329421038282","moderate","2024-01-01","Monday","1"
"beta","beta042435","45292.64791666667","tea","Jasmine Tea","0.25","50","10","2","100","80","0.8","to go","mobile","M","True","49","afternoon","True","False","3.788299569541024","short","2024-01-01","Monday","1"
"beta","beta042436","45292.65833333333","tea","Bubble Tea","0.5","70","17.5","2","140","105","0.75","to go","credit card","F","True","1697","afternoon","True","False","2.926341560707374","short","2024-01-01","Monday","1"
"beta","beta042437","45292.67013888889","smoothie","Kiwi Smoothie","0.5","90","40.5","3","270","148.5","0.55","eat in","mobile","M","True","905","afternoon","True","False","7.895010536161979","moderate","2024-01-01","Monday","1"
"beta","beta042438","45292.67430555556","tea","Yuzu Tea","0.25","70","24.5","1","70","45.5","0.65","to go","mobile","M","True","904","afternoon","True","False","5.328824277445674","moderate","2024-01-01","Monday","1"
"beta","beta042439","45292.68958333333","tea","Bubble Tea","0","70","17.5","1","70","52.5","0.75","eat in","mobile","M","True","852","afternoon","True","False","5.003428837153031","moderate","2024-01-01","Monday","1"
"beta","beta042440","45292.69305555556","tea","Yuzu Tea","0.5","70","24.5","1","70","45.5","0.65","to go","mobile","F","True","1627","afternoon","True","False","10.94006441593692","long","2024-01-01","Monday","1"
"beta","beta042440","45292.69305555556","bakery","Sandwich",,"80","28","1","80","52","0.65","to go","mobile","F","True","1627","afternoon","True","False","10.94006441593692","long","2024-01-01","Monday","1"
"beta","beta042441","45292.69930555556","smoothie","Kiwi Smoothie","0.25","90","40.5","3","270","148.5","0.55","to go","mobile","M","True","1647","afternoon","True","False","17.70385148055642","very long","2024-01-01","Monday","1"
"beta","beta042441","45292.69930555556","bakery","Donut",,"40","12","3","120","84","0.7","to go","mobile","M","True","1647","afternoon","True","False","17.70385148055642","very long","2024-01-01","Monday","1"
"beta","beta042442","45292.73263888889","bakery","Donut",,"40","12","1","40","28","0.7","eat in","mobile","F","True","1646","evening","True","False","11.20176653811603","very long","2024-01-01","Monday","1"
"beta","beta042442","45292.73263888889","coffee","Latte","0.25","65","27.95","1","65","37.05","0.57","eat in","mobile","F","True","1646","evening","True","False","11.20176653811603","very long","2024-01-01","Monday","1"
"beta","beta042443","45292.76319444444","tea","Bubble Tea","0.25","70","17.5","1","70","52.5","0.75","to go","mobile","M","True","31","evening","True","False","4.305014303611021","short","2024-01-01","Monday","1"
"beta","beta042444","45292.77430555555","coffee","Espresso","0.5","55","20.35","1","55","34.65","0.63","eat in","credit card","F","True","1645","evening","True","False","4.396554668652737","short","2024-01-01","Monday","1"
"beta","beta042445","45292.79236111111","tea","Green Tea","0.75","65","24.7","2","130","80.6","0.62","eat in","credit card","F","True","41","evening","True","False","3.098404362613313","short","2024-01-01","Monday","1"
"beta","beta042446","45292.82916666667","tea","Green Tea","0.5","65","24.7","1","65","40.3","0.62","delivery","mobile","M","True","878","evening","True","False","16.25364557048704","very long","2024-01-01","Monday","1"
"beta","beta042446","45292.82916666667","coffee","Latte","0.25","65","27.95","3","195","111.15","0.57","delivery","mobile","M","True","878","evening","True","False","16.25364557048704","very long","2024-01-01","Monday","1"
"beta","beta042447","45293.25138888889","bakery","Muffin",,"60","27","4","240","132","0.55","delivery","mobile","F","True","1650","morning","False","False","16.11898765303163","very long","2024-01-02","Tuesday","1"
"beta","beta042447","45293.25138888889","coffee","Nitro Flat White","0.5","155","74.39999999999999","2","310","161.2","0.52","delivery","mobile","F","True","1650","morning","False","False","16.11898765303163","very long","2024-01-02","Tuesday","1"
"beta","beta042448","45293.25625","coffee","Mocha","0","70","30.1","2","140","79.80000000000001","0.5700000000000001","delivery","mobile","M","True","18","morning","False","False","7.596064795827981","moderate","2024-01-02","Tuesday","1"
"beta","beta042448","45293.25625","coffee","Latte","0.25","65","27.95","1","65","37.05","0.57","delivery","mobile","M","True","18","morning","False","False","7.596064795827981","moderate","2024-01-02","Tuesday","1"
"beta","beta042449","45293.29861111111","tea","Yuzu Tea","0.25","70","24.5","1","70","45.5","0.65","eat in","mobile","F","True","872","morning","False","False","9.977276910260706","long","2024-01-02","Tuesday","1"
"beta","beta042449","45293.29861111111","bakery","Donut",,"40","12","1","40","28","0.7","eat in","mobile","F","True","872","morning","False","False","9.977276910260706","long","2024-01-02","Tuesday","1"
"beta","beta042450","45293.30416666667","smoothie","Strawberry Smoothie","0.5","85","25.5","1","85","59.5","0.7","eat in","mobile","M","True","1676","morning","False","False","3.33450026346776","short","2024-01-02","Tuesday","1"
"beta","beta042451","45293.30486111111","smoothie","Strawberry Smoothie","0.5","85","25.5","3","255","178.5","0.7","to go","mobile","M","True","871","morning","False","False","13.50179743315664","very long","2024-01-02","Tuesday","1"
"beta","beta042451","45293.30486111111","tea","Thai Tea","0.25","70","17.5","1","70","52.5","0.75","eat in","mobile","F","True","1665","morning","False","False","13.50179743315664","very long","2024-01-02","Tuesday","1"
"beta","beta042452","45293.30902777778","bakery","Donut",,"40","12","2","80","56","0.7","eat in","mobile","M","True","837","morning","False","False","3.980405073928609","short","2024-01-02","Tuesday","1"
"beta","beta042453","45293.3125","bakery","Donut",,"40","12","1","40","28","0.7","to go","credit card","F","True","860","morning","False","False","10.35297186623654","long","2024-01-02","Tuesday","1"
"beta","beta042453","45293.3125","coffee","Iced Latte","0.5","65","22.75","1","65","42.25","0.65","to go","credit card","F","True","860","morning","False","False","10.35297186623654","long","2024-01-02","Tuesday","1"
"beta","beta042454","45293.31388888889","tea","Bubble Tea","1","70","17.5","1","70","52.5","0.75","to go","gift card","M","True","30","morning","False","False","5.001664253818722","moderate","2024-01-02","Tuesday","1"
"beta","beta042455","45293.32222222222","tea","Green Tea","0.25","65","24.7","1","65","40.3","0.62","to go","mobile","M","True","878","morning","False","False","4.169323928244873","short","2024-01-02","Tuesday","1"
"beta","beta042456","45293.32430555556","tea","Black Tea","0.25","40","8","3","120","96","0.8","eat in","mobile","F","True","34","morning","False","False","8.600770711339639","long","2024-01-02","Tuesday","1"
"beta","beta042457","45293.33333333334","bakery","Muffin",,"60","27","3","180","99","0.55","to go","mobile","M","True","1676","morning","False","False","6.935829537357121","moderate","2024-01-02","Tuesday","1"
"beta","beta042458","45293.33680555555","tea","Thai Tea","0.25","70","17.5","1","70","52.5","0.75","eat in","credit card","F","True","24","morning","False","False","8.103703678833108","long","2024-01-02","Tuesday","1"
"beta","beta042459","45293.33819444444","tea","Yuzu Tea","0.5","70","24.5","1","70","45.5","0.65","to go","mobile","F","True","1630","morning","False","False","4.187964048208268","short","2024-01-02","Tuesday","1"
"beta","beta042460","45293.34027777778","bakery","Cheesecake",,"120","72","1","120","48","0.4","eat in","mobile","F","True","886","morning","False","False","3.798321365663558","short","2024-01-02","Tuesday","1"
"beta","beta042461","45293.34236111111","tea","Black Tea","0.25","40","8","2","80","64","0.8","eat in","mobile","F","True","886","morning","False","False","10.76528764530229","long","2024-01-02","Tuesday","1"
"beta","beta042461","45293.34236111111","coffee","Latte","0.25","65","27.95","2","130","74.1","0.57","eat in","mobile","M","True","1687","morning","False","False","10.76528764530229","long","2024-01-02","Tuesday","1"
"beta","beta042462","45293.35277777778","tea","Thai Tea","0.25","70","17.5","1","70","52.5","0.75","eat in","mobile","F","True","1674","morning","False","False","5.268793225028151","moderate","2024-01-02","Tuesday","1"
"beta","beta042463","45293.35763888889","bakery","Muffin",,"60","27","1","60","33","0.55","eat in","mobile","F","True","16","morning","False","False","5.051686898916465","moderate","2024-01-02","Tuesday","1"
"beta","beta042464","45293.36875","coffee","Mocha","0.75","70","30.1","1","70","39.90000000000001","0.5700000000000001","to go","mobile","M","False",,"morning","False","False","4.512918383117575","short","2024-01-02","Tuesday","1"
"beta","beta042465","45293.37222222222","tea","Bubble Tea","0.25","70","17.5","1","70","52.5","0.75","eat in","mobile","F","True","901","morning","False","False","13.37396595871285","very long","2024-01-02","Tuesday","1"
"beta","beta042465","45293.37222222222","bakery","Sandwich",,"80","28","1","80","52","0.65","eat in","mobile","F","True","901","morning","False","False","13.37396595871285","very long","2024-01-02","Tuesday","1"
"beta","beta042466","45293.38055555556","tea","Green Tea","0.25","65","24.7","4","260","161.2","0.62","to go","mobile","F","False",,"morning","False","False","8.728327137144888","long","2024-01-02","Tuesday","1"
"beta","beta042467","45293.38402777778","tea","Yuzu Tea","1","70","24.5","1","70","45.5","0.65","to go","mobile","M","True","905","morning","False","False","2.645196654350398","short","2024-01-02","Tuesday","1"
"beta","beta042468","45293.38680555556","smoothie","Strawberry Smoothie","0.25","85","25.5","2","170","119","0.7","eat in","mobile","M","True","1654","morning","False","False","4.170714911118687","short","2024-01-02","Tuesday","1"
"beta","beta042469","45293.3875","bakery","Sandwich",,"80","28","1","80","52","0.65","eat in","mobile","M","True","892","morning","False","False","14.04668655127168","very long","2024-01-02","Tuesday","1"
"beta","beta042469","45293.3875","smoothie","Kiwi Smoothie","0.5","90","40.5","1","90","49.5","0.55","eat in","mobile","M","True","892","morning","False","False","14.04668655127168","very long","2024-01-02","Tuesday","1"
"beta","beta042470","45293.38888888889","tea","Bubble Tea","0.5","70","17.5","1","70","52.5","0.75","delivery","mobile","F","True","847","morning","False","False","13.9176461316345","very long","2024-01-02","Tuesday","1"
"beta","beta042470","45293.38888888889","tea","Thai Tea","0","70","17.5","1","70","52.5","0.75","delivery","mobile","F","True","847","morning","False","False","13.9176461316345","very long","2024-01-02","Tuesday","1"
"beta","beta042471","45293.39097222222","tea","Green Tea","0.5","65","24.7","1","65","40.3","0.62","eat in","mobile","F","True","11","morning","False","False","5.331045137353517","moderate","2024-01-02","Tuesday","1"
"beta","beta042472","45293.39444444444","tea","Jasmine Tea","0.25","50","10","1","50","40","0.8","eat in","mobile","M","True","1701","morning","False","False","3.521522611753006","short","2024-01-02","Tuesday","1"
"beta","beta042473","45293.39722222222","smoothie","Mango Smoothie","0.5","90","31.5","1","90","58.5","0.65","eat in","mobile","M","True","1682","morning","False","False","5.63863173161756","moderate","2024-01-02","Tuesday","1"
"beta","beta042474","45293.39791666667","tea","Black Tea","0.25","40","8","3","120","96","0.8","eat in","mobile","F","True","903","morning","False","False","21.32386892959883","very long","2024-01-02","Tuesday","1"
"beta","beta042474","45293.39791666667","bakery","Sandwich",,"80","28","3","240","156","0.65","eat in","mobile","F","True","903","morning","False","False","21.32386892959883","very long","2024-01-02","Tuesday","1"
"beta","beta042475","45293.39861111111","tea","Jasmine Tea","0.25","50","10","2","100","80","0.8","eat in","credit card","M","False",,"morning","False","False","4.238418662458476","short","2024-01-02","Tuesday","1"
"beta","beta042476","45293.40138888889","bakery","Cheesecake",,"120","72","2","240","96","0.4","eat in","mobile","F","False",,"morning","False","False","2.981439336539123","short","2024-01-02","Tuesday","1"
"beta","beta042477","45293.40347222222","tea","Thai Tea","0.5","70","17.5","1","70","52.5","0.75","to go","mobile","F","False",,"morning","False","False","2.606868160150394","short","2024-01-02","Tuesday","1"
"beta","beta042478","45293.40416666667","bakery","Cookie",,"85","29.75","1","85","55.25","0.65","to go","mobile","F","True","861","morning","False","False","10.74995876697267","long","2024-01-02","Tuesday","1"
"beta","beta042478","45293.40416666667","coffee","Mocha","0.75","70","30.1","1","70","39.90000000000001","0.5700000000000001","to go","mobile","F","True","861","morning","False","False","10.74995876697267","long","2024-01-02","Tuesday","1"
"beta","beta042479","45293.40486111111","coffee","Latte","0.25","65","27.95","1","65","37.05","0.57","eat in","mobile","F","True","29","morning","False","False","7.169663985970442","moderate","2024-01-02","Tuesday","1"
"beta","beta042480","45293.40625","smoothie","Mango Smoothie","0.5","90","31.5","1","90","58.5","0.65","eat in","credit card","F","True","1638","morning","False","False","4.369807415481763","short","2024-01-02","Tuesday","1"
"beta","beta042481","45293.40694444445","smoothie","Strawberry Smoothie","0.25","85","25.5","2","170","119","0.7","eat in","mobile","F","True","1697","morning","False","False","24.59050743097233","very long","2024-01-02","Tuesday","1"
"beta","beta042481","45293.40694444445","bakery","Croissant",,"85","46.75000000000001","2","170","76.49999999999999","0.4499999999999999","eat in","mobile","F","True","1697","morning","False","False","24.59050743097233","very long","2024-01-02","Tuesday","1"
"beta","beta042481","45293.40694444445","tea","Thai Tea","0.25","70","17.5","1","70","52.5","0.75","to go","mobile","F","True","54","morning","False","False","24.59050743097233","very long","2024-01-02","Tuesday","1"
"beta","beta042481","45293.40694444445","bakery","Donut",,"40","12","1","40","28","0.7","to go","credit card","F","True","1704","morning","False","False","24.59050743097233","very long","2024-01-02","Tuesday","1"
"beta","beta042481","45293.40694444445","tea","Black Tea","0.25","40","8","1","40","32","0.8","to go","credit card","F","True","1704","morning","False","False","24.59050743097233","very long","2024-01-02","Tuesday","1"
"beta","beta042482","45293.41111111111","tea","Thai Tea","0.75","70","17.5","2","140","105","0.75","eat in","mobile","M","True","56","morning","False","False","3.880394700382218","short","2024-01-02","Tuesday","1"
"beta","beta042483","45293.41944444444","tea","Bubble Tea","0.5","70","17.5","3","210","157.5","0.75","to go","mobile","F","True","898","morning","False","False","5.703128167181667","moderate","2024-01-02","Tuesday","1"
"beta","beta042484","45293.42152777778","bakery","Donut",,"40","12","3","120","84","0.7","to go","mobile","F","True","861","morning","False","False","18.54985113013507","very long","2024-01-02","Tuesday","1"
"beta","beta042484","45293.42152777778","smoothie","Mango Smoothie","0.25","90","31.5","3","270","175.5","0.65","to go","mobile","F","True","861","morning","False","False","18.54985113013507","very long","2024-01-02","Tuesday","1"
"beta","beta042485","45293.42361111111","coffee","Mocha","0.25","70","30.1","1","70","39.90000000000001","0.5700000000000001","eat in","mobile","M","True","22","morning","False","False","6.563390470314868","moderate","2024-01-02","Tuesday","1"
"beta","beta042486","45293.43125","tea","Thai Tea","0","70","17.5","1","70","52.5","0.75","delivery","mobile","F","True","59","morning","False","False","19.23878789167026","very long","2024-01-02","Tuesday","1"
"beta","beta042486","45293.43125","bakery","Sandwich",,"80","28","3","240","156","0.65","delivery","mobile","F","True","59","morning","False","False","19.23878789167026","very long","2024-01-02","Tuesday","1"
"beta","beta042486","45293.43125","coffee","Americano","0.25","45","14.4","3","135","91.8","0.68","delivery","mobile","F","True","59","morning","False","False","19.23878789167026","very long","2024-01-02","Tuesday","1"
"beta","beta042487","45293.43194444444","bakery","Croissant",,"85","46.75000000000001","4","340","153","0.4499999999999999","to go","mobile","F","True","850","morning","False","False","10.39487346154989","long","2024-01-02","Tuesday","1"
"beta","beta042488","45293.43472222222","tea","Yuzu Tea","0.5","70","24.5","1","70","45.5","0.65","to go","credit card","F","True","862","morning","False","False","6.711666364417201","moderate","2024-01-02","Tuesday","1"
